source_family,source_file,source_locator,source_column,source_type,element_count,target_table,target_identifier,target_type,column_origin,description_text,description_source,description_locator,description_source_sha256,description_status,unit,unit_source,unit_locator,unit_source_sha256,semantic_note,semantic_note_source,semantic_note_locator,semantic_note_source_sha256
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],chi2_max,D,1,photometry_primary,chi2_max,double precision,source_native,Peak value of the chi2pos detection image within r=0.1 of the source centroid,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 45, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,unknown,,,,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],mode,4A,4,photometry_primary,mode,text,source_native,Detection mode (hot or cold) this source was identified with,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 46, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,unknown,,,,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],snr_hst-f814w,D,1,photometry_primary,snr_hst_f814w,double precision,source_native,"Detection significance, measured from native-resolution (i.e. non-PSF homogenized) images in 0.2 diameter apertures",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 47, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,unknown,,,,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],wht_hst-f814w,D,1,photometry_primary,wht_hst_f814w,double precision,source_native,Median value of the WHT map in a 0.2 diameter aperture,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 48, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,unknown,,,,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],flux_auto_hst-f814w,D,1,photometry_primary,flux_auto_hst_f814w,double precision,source_native,"Flux, measured in small elliptical apertures with Kron aperture correction and PSF correction applied [microJy]",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 49, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,microJy,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 49, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],flux_err_auto_hst-f814w,D,1,photometry_primary,flux_err_auto_hst_f814w,double precision,source_native,"Flux, adding in quadrature the propagated uncertainty from the ERR map with the random-aperture noise measurements [microJy]",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 50, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,microJy,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 50, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],mag_auto_hst-f814w,D,1,photometry_primary,mag_auto_hst_f814w,double precision,source_native,"Magnitude, computed from the auto flux AB mag",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 51, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,unknown,,,,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],flux_aper_hst-f814w,5D,5,photometry_primary,flux_aper_hst_f814w,double precision[],source_native,"Flux, measured in circular apertures (diameters 0.2, 0.3, 0.5,0.75, and 1), with no PSF correction applied [microJy]",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 52, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,microJy,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 52, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],flux_err_aper_hst-f814w,5D,5,photometry_primary,flux_err_aper_hst_f814w,double precision[],source_native,"Flux, uncertainty, computed as described for flux_err_auto_ [microJy]",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 53, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,microJy,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 53, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,,,,
master_catalog,/mnt/nvme01/cosmos-web-dr1-catalog/COSMOSWeb_mastercatalog_v1.1_photom_primary.fits,HDU 1 [PHOTOMETRY HOTCOLD AND SE++],mag_aper_hst-f814w,5D,5,photometry_primary,mag_aper_hst_f814w,double precision[],source_native,"Magnitude, computed from the aper flux [AB mag]",/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 54, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,verified,AB mag,/mnt/nvme01/cosmos-web-dr1-catalog/cosmosweb-dr1-detailed-column-descriptions.txt,"section 1, line 54, Description",3e7dde1db9d541ce8593b12cbf0690130422e746ce7db78cc238f27ed724366b,,,,
