Photometry (PSF-homogenized Aperture and SE++ Model-Based)
Column Name	Description
flux_err-uncal_model_f150w	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_f277w	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_f444w	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hst-f814w	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_f770w	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_cfht-u	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-g	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-r	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-i	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-z	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-y	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-nb0816	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-nb0921	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_hsc-nb1010	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_uvista-y	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_uvista-j	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_uvista-h	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_uvista-ks	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_uvista-nb118	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia484	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia527	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia624	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia679	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia738	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ia767	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ib427	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ib505	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ib574	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ib709	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-ib827	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-nb711	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_sc-nb816	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_irac-ch1	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_irac-ch2	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_irac-ch3	Sersic model total flux uncertainty (uncalibrated) [microJy]
flux_err-uncal_model_irac-ch4	Sersic model total flux uncertainty (uncalibrated) [microJy]
flag_star_hsc	Flag for sources contaminated by bright stars defined on the HSC images. Affects mostly ground based photometry. 0: good, 1: masked out
flux_err-cal_model_f115w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_f150w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_f277w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_f444w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hst-f814w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_f770w	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_cfht-u	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-g	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-r	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-i	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-z	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-y	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-nb0816	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-nb0921	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_hsc-nb1010	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_uvista-y	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_uvista-j	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_uvista-h	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_uvista-ks	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_uvista-nb118	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ia484	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ia527	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ia624	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ia679	Sersic model total flux uncertainty (calibrated) [microJy]
